id,doi,date,title,keywords
10.5281/zenodo.5655305,10.5281/zenodo.5655305,2021-11-08,Developing a REPO Assessment Workbook: Supporting Open Science Communities in the Transition to Online Learning,Open Science; Reimagining Educational Practices for Open (REPO)
10.5281/zenodo.5762761,10.5281/zenodo.5762761,2021-12-06,Developing Metrics for Assessing the Impact of Open Science Services,open science; assessment metrics; library services
10.5281/zenodo.6737966,10.5281/zenodo.6737966,2022-06-25,"Open science for enabling reproducible, ethical and collaborative research: Insights from The Turing Way",Open Science; Reproducibility; Collaboration; Ethics
10.5281/zenodo.8402837,10.5281/zenodo.8402837,2023-10-03,Open Education in European Libraries of Higher Education: current situation and recommendations to foster OER,"Open Education, Open Education Resources, Open Science"
10.5281/zenodo.6811578,10.5281/zenodo.6811578,2022-07-07,Open science and communities of researchers: the big gap in training. A case study at Sorbonne University,Session 7: Trailblazing training for higher education
10.5281/zenodo.7662828,10.5281/zenodo.7662828,2023-02-22,Building the Open Source Science Stack,open science; open source; digital research infrastructure; interactive computing; Jupyter; Pangeo
10.5281/zenodo.6974938,10.5281/zenodo.6974938,2022-09-07,Open Science Partnerships' contribution to knowledge dissemination and value creation,
10.5281/zenodo.8115776,10.5281/zenodo.8115776,2023-07-05,How to Open Science: Promoting Principles and Reproducibility Practices within the Educational Data Mining Community,
10.5281/zenodo.5782814,10.5281/zenodo.5782814,2021-12-15,Open Science Workshop at Thünen Institute,"Open Science, open reproducible research, open data, FAIR data, git, GitLab, collaboration"
10.5281/zenodo.8397984,10.5281/zenodo.8397984,2023-10-02,Facing open data in biomedical and health research entities: guideline to enforce an institutional open data strategy,
10.5281/zenodo.8162997,10.5281/zenodo.8162997,2023-07-19,Research Object Hub (RoHub) for FAIR research data management and Open Science in practice,open science; collaboration; training; workshop; research object; EDSBook
10.5281/zenodo.7837428,10.5281/zenodo.7837428,2022-12-12,icepyx as an icebreaker: starting conversations and building competencies in open science,open science; open-source software; ICESat-2; community
10.5281/zenodo.10225598,10.5281/zenodo.10225598,2023-11-30,AURORA RI Deliverable 6.2 - Aurora Open Science Knowledge Base,Aurora Universities Network; Open Science; Knowledge Base
10.5281/zenodo.10025425,10.5281/zenodo.10025425,2023-10-20,"Open science for enabling reproducible, ethical and collaborative research",open science; reproducibility; Turing Way
10.5281/zenodo.8190449,10.5281/zenodo.8190449,2023-07-27,Journal of Lifestyle and Sdg's Review Adopts Transparency Seals for Open Science Promotion,Open Science; Transparency Seals; Open Data; Open Methods; Reproducibility
10.5281/zenodo.7120472,10.5281/zenodo.7120472,2022-09-28,Enabling Open Science practices in Helmholtz!,open science; open research data; FAIR; open access; open research software
10.5281/zenodo.8233747,10.5281/zenodo.8233747,2023-08-10,We started to transform toward Open Science together with NASA: 10 points!,Open Science; NASA; TOPS; Training; Cohorts
10.5281/zenodo.7087738,10.5281/zenodo.7087738,2022-09-16,Emerging Open Science Leadership Fellows,"open science, community of practice, fellowship, Latin America, Africa"
10.5281/zenodo.8119032,10.5281/zenodo.8119032,2023-06-28,Designing Training for FAIR and Open Data,FAIR; training; Open Science
10.24424/qkna-rz18,10.24424/qkna-rz18,2022-12-23,AGU 2022 - Environmental Data Science Book: a community-driven resource showcasing open-source Environmental science - snapshot,
10.24424/ch0e-b129,10.24424/ch0e-b129,2023-03-10,AGU 2022 - Environmental Data Science Book: a community-driven resource showcasing open-source Environmental science - archive,
10.5281/zenodo.8415572,10.5281/zenodo.8415572,2023-10-09,Open Science for Missions,"Open Science, Missions, SPD-41a, Publications, Software, Data, Culture, NASA TOPS"
10.5281/zenodo.7772238,10.5281/zenodo.7772238,2022-10-25,Lessons for Librarians in Open Science Principles and Methods 2022,open science; open data; imls; carpentries
10.5281/zenodo.7684492,10.5281/zenodo.7684492,2023-02-28,Open Science and DMP in Estonia + QA by Grant Office,Open Science; DMPonline; Research Data Management; DMP
10.5281/zenodo.4048442,10.5281/zenodo.4048442,2020-09-24,EOSC-Life Publication of generic guidelines for the organization of topic-specific Open Calls,Life science research infrastructures; Cross RI data; Cross RI tools; Cloud
10.5281/zenodo.7315250,10.5281/zenodo.7315250,2022-09-15,Building National Open Science Cloud Initiatives (NOSCIs) in Southeast Europe,open science; national open science cloud initiatives; EOSC; scholarly communication
10.5281/zenodo.5113578,10.5281/zenodo.5113578,2021-07-19,ITC's Strategic Plan for Open Science 2021-2025 - Towards an Open Future,"Open Science, Open Access, Open Reproducible Research, Open Data, Open Educational Resources, Open Software, Open Source, FAIR Data"
10.5281/zenodo.8052706,10.5281/zenodo.8052706,2023-06-18,Microbial resources in the European Open Science Cloud: MIRRI contribution to the EOSC-Life project,FAIR; EOSC; services; FAIRsharing.org; Data MIRRI
10.5281/zenodo.5221234,10.5281/zenodo.5221234,2021-08-19,ZLE Open Science Declaration,open science; energy research
10.5281/zenodo.8375746,10.5281/zenodo.8375746,2023-09-25,"""It's as simple as asking for it"". How do archaeologists collaborate – and how can open data improve it (or not)",Archaeology; Archaeological research; Collaboration; Data sharing; Open data; Catalonia
10.1088/1757-899X/1024/1/012069,10.1088/1757-899X/1024/1/012069,2021-01-22,Foundations towards the future: FutPrInt50 TLARs an open approach,
10.5281/zenodo.3381895,10.5281/zenodo.3381895,2019-08-30,The Role of Research Managers in the Advocacy of Open Science,Research managers; advocacy; open science practices; collaboration; sustainable services
10.5281/zenodo.4304330,10.5281/zenodo.4304330,2020-12-02,Introduction and Motivations: Open Science and Access to Research Data,Open Science; Open Access; Reproducibility; Open Data
10.5281/zenodo.3745008,10.5281/zenodo.3745008,2020-04-01,Open communities and promoting a culture of collaboration,"community, culture, the turing way, open science, remote collaboration"
10.5281/zenodo.10337801,10.5281/zenodo.10337801,2023-12-11,Exploring the intersection of data science and open practices at British Antarctic Survey,
10.5281/zenodo.2548695,10.5281/zenodo.2548695,2019-01-25,Case studies on Open Science in the context of ERC projects - Set 5,Open Science; ERC; European Research Council
10.5281/zenodo.10338456,10.5281/zenodo.10338456,2023-12-11,Genomics England and The Turing Way: a path to open science in a sensitive data landscape,
10.5281/zenodo.8053063,10.5281/zenodo.8053063,2022-09-21,Open Access initiatives across tertiary vocational education in Aotearoa New Zealand,
10.5281/zenodo.5727058,10.5281/zenodo.5727058,2021-11-25,UU Open Science Questionnaire 2020,Open Science; Open Access; Open Data; Open Software; Open Source; Open Code; Open Materials; Transparency; Recognition; Rewards; Research; Impact; Stakeholders; Public Engagement; FAIR; Pre-registration; Pre-prints; Team Science; Reproducibility; Collaboration; Academia
10.31866/2616-7654.8.2021.247582,10.31866/2616-7654.8.2021.247582,2021-12-20,"Open Access, Open Science, Open Data: How it Was and Where We are Going",open access; open science; open data; scientific communication; repositories; journals
10.5281/zenodo.4299167,10.5281/zenodo.4299167,2020-11-30,"VU Data Conversations: Open Science, Team Science, Recognition and Reward",Data Conversations; Open Science; Team Science; Collaboration; The International Brain Laboratory; neuroscience; statistics
10.5281/zenodo.7197523,10.5281/zenodo.7197523,2022-09-07,User-centred design in indicator development: Involving the biomedical community in building an open science dashboard,
10.5281/zenodo.6841867,10.5281/zenodo.6841867,2022-07-15,The Turing Way response to UNESCO's Global Call for Best Practices in Open Science,
10.5281/zenodo.8250979,10.5281/zenodo.8250979,2023-08-15,Open Science Accesible: Teaching TOPS OpenCore in English,open science; Teaching
10.5281/zenodo.8398020,10.5281/zenodo.8398020,2023-10-02,How the European Universities Initiative Contributes to the Advancement of Open Science – The (Re:)ERUA Work Package on Open Science,
10.5281/zenodo.4795689,10.5281/zenodo.4795689,2021-05-31,Exploring mutuality: A report on independent open access publications in the social sciences,open access; scholarly communication; mutual aid; bibliodiversity
10.5281/zenodo.8391371,10.5281/zenodo.8391371,2023-09-07,Carrot & Stick: Policy as a driver for Open Science,
10.5281/zenodo.8287017,10.5281/zenodo.8287017,2023-09-07,Team Infrastructure Roles in open research culture,Team Infrastructure Roles; Open Research; Open Science; Research Software Engineers; Research Community Managers; Professional Support
10.5281/zenodo.4720432,10.5281/zenodo.4720432,2021-04-26,Open and FAIR science in an institutional context,open science; FAIR data; FAIR science; FAIR ethics; biophysics; biomedical engineering; data management; research cycle; biophysics
10.5281/zenodo.5555290,10.5281/zenodo.5555290,2021-10-07,TREETIME - Your Journey Towards Open Science,
10.5281/zenodo.4609239,10.5281/zenodo.4609239,2021-03-16,"Rewards and Incentives for Open Science: A global registry, a global collaboration",
10.5281/zenodo.6644437,10.5281/zenodo.6644437,2022-06-15,"Open Research Information at the Berlin University Alliance for Responsible Research Assessment – Presentation from ""VIVO Talks!""",Research Information; Open Research Information; Open Science; Research Assessment; VIVO; VIVO-DE; Berlin University Alliance
